Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
libraryPreparationMethod,Method by which library was prepared,"10x, Accel-NGS 2S Plus, CEL-seq, Drop-Seq, NEBNext, NexteraXT, Omni-ATAC, sac-seq, Smart-seq1, Smart-seq2, Smart-seq4, SMRTbell, TruSeq",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.libraryPreparationMethod-0.0.8,
libraryVersion,"Library Version: for example, rnaSeq 10x library version",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.libraryVersion-0.0.2,
litter,Animal litter,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.litter-0.0.2,
matingID,Identifies the animals that were mated to produce the animal in question,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.matingID-0.0.2,
modelSystemName,,"3xTg-AD, 5XFAD, AB42, Abca7A1527GAPOE4Trem2R47H, Abca7KO, Abca7V1599M_rs117187003, Abi3S209F_Aduci, APOE2KI, APOE3KI, APOE4KI, APOE4Trem2R47H, ApoEKO, APPE693Q, AppKOAPOE4Trem2R47H, APPKM650, APPKM670, APPKM670-671NL-PSEN1deltaexon9, APPPS1, B6.Clu, B6.Gfap-APOE4, Bin1.B6, Bin1K358R_Aduci, BRI2-AB42, Cd2ap.B6, Ceacam1KO, Clasp2L163PSNP, CRND8, C57BL6J, hAbetaKI, hAPPAPOE4Trem2R47H, hCR1KIAPOE4Trem2, hTau, hTauTrem2, Il1rapKO, Kif21bT82TSNP, MAPT-P301K, Meox2KOHET, MthfrC677TSNP, Mtmr4V297GSNP, PicalmH458R, Plcg2KO, Plcg2M28LSNP, rTg4510, Snx1D465NSNP, Sorl1A528TSNP, Spi1rs1377416, TREM2, Trem2flox, Trem2KO, Trem2R47H, Trem2R47H_em1_Aduci, Trem2Y38C, TYROBP, TYROBP_KO.KO, TYROBP_WT, TYROBP_WT.KO",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-neuro.modelSystemName-0.0.6,
MRItype,The type of MRI assay performed.,"DTI, functional, structural",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.MRItype-0.0.2,
nucleicAcidSource,,"bulk cell, single cell, bulk nuclei, single nucleus, mitochondria, sorted cells, sorted nuclei, cfDNA",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.nucleicAcidSource-0.0.3,
organ,A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.,"blood, bone marrow, brain, breast, Bursa Of Fabricius, cerebrospinal fluid, colon, kidney, large intestine, liver, lung, lymph node, mammary gland, nerves, nose, ovary, pancreas, prostate, skin, spleen",,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.organ-0.0.4,
platform,"The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.","Affy5.0, Affy6.0, Affymetrix Human Gene 1.0 ST Array, AffymetrixU133AB, AffymetrixU133Plus2, Agilent44Karray, BGISEQ-500, Biocrates p180, Biograph mCT, Bionano Irys, Bruker Avance III, confocalImaging, ddSEQ Single-Cell Isolator, DNBSEQ, GAIIx, HiSeq1000, HiSeq2000, HiSeq2500, HiSeq3000, HiSeq4000, HiSeqX, Illumina_1M, Illumina_h650, Illumina_HumanOmni1-Quadv1.0, Illumina MouseWG-6 v2.0 expression beadchip, Illumina_Omni2.5-8, Illumina_Omni2.5-8_v1.1, Illumina_Omni2.5-8_v1.3, Illumina_Omni2pt5M, Illumina_Omni5M, Illumina_Omni5-Quad, IlluminaHumanHap300, IlluminaHumanHap650Yv3_A, IlluminaHumanHT-12_V3_0_R1, IlluminaHumanMethylation450, IlluminaMethylationEPIC, IlluminaInfiniumGSAMD-24v2-0, Illumina_Infinium-HumanMethylation450-BeadChip, IlluminaMiSeq, Illumina NovaSeq 6000, IlluminaNovaseq6000, IlluminaWholeGenomeDASL, Infinium HumanOmniExpressExome, Infinium Omni2.5Exome-8 v1.1, Infinium Omni2.5Exome-8 v1.3, Infinium Omni2.5Exome-8 v1.4, Infinium Omni2.5Exome-8 v1.5, InfiniumPsychArrayBeadChip, LTQOrbitrapXL, MiSeq, NanostringnCounter, NanostringnCounter_MouseADPanel, NextSeq500, Olink Target 96, orbitrap, OrbiTrap Fusion, Orbitrap Fusion Lumos, PacBioRSII, PacBio Sequel II, Perlegen300Karray, PsychChip, Q Exactive, Q Exactive HF, Q Exactive Plus, quadrupole time-of-flight, SequenomMultiplex, Signa Premier AIR 3T, Simoa HD-1 Analyzer, time-of-flight, triple quadrupole, Xevo G2 QTOF, Xevo TQ-S",,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.platform-0.0.19,
readLength,The length of the read,,,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.readLength-0.0.2,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"forward, reverse",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.readStrandOrigin-0.0.2,
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.","1000 Genomes phase 3, GRCh38, GRCh37, MMUL1.0, HRC",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-curatedData.referenceSet-0.0.3,
RIN,RNA Integrity Number,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-qc.RIN-0.0.2,
rnaBatch,Batch in which RNA sample was isolated,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.rnaBatch-0.0.2,
room,Room the animal was housed in,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.room-0.0.2,
runType,,"singleEnd, pairedEnd",,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-ngs.runType-0.0.2,
sampleStatus,Conditions under which sample is kept,"formalin-fixed, fresh, frozen, paxgene",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.sampleStatus-0.0.2,
samplingAge,Age of the individual when the sample was taken,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.samplingAge-0.0.2,
samplingAgeUnits,Age at sampling units.,"days, gestational weeks, months, PCW, weeks, years",,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.samplingAgeUnits-0.0.2,
scanID,"The ID of a sample, specimen, or individual in a scan or imaging file.",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.scanID-0.0.2,
sequencingBatch,Batch library was sequenced in,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-batch.sequencingBatch-0.0.2,
sex,"Sex assigned at birth, or by sequencing","male, female",,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.sex-0.0.2,
sexChromosome,"Sex identified by SNP genotype (e.g XX, XY)",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-clinical.sexChromosome-0.0.2,
species,The name of a species (typically a taxonomic group) of organism.,"Human, Mouse, Rat, Drosophila melanogaster, Rhesus macaque, Pan troglodytes, Gallus gallus, Sus scrofa",,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.species-0.0.2,
specimenID,Identifying string linked to a particular sample or specimen,,,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.specimenID-0.0.2,
specimenIdSource,"The repository or database to which a specimenID maps; or, the group or lab that generated the specimen. For cell culture studies, the commercial source or lab that generated the cells.",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.specimenIdSource-0.0.3,
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,"amygdala, amygdaloid complex, anterior cingulate cortex, blood, bone marrow, Buccal Mucosa, Buffy Coat, caudate nucleus, cecum derived fecal material, cerebellar cortex, cerebellum, cerebral cortex, cortical plate, dorsal pallium, Dorsal Root Ganglion, dorsolateral prefrontal cortex, dorsomedial prefrontal cortex, embryonic tissue, fecal material, forebrain, frontal cortex, frontal lobe, frontal pole, fusiform gyrus, hippocampus, head of caudate nucleus, inferior frontal gyrus, inferior temporal cortex, inferior temporal gyrus, inferolateral temporal cortex, insula, insular cortex, left cerebral hemisphere, liver, medial dorsal nucleus of thalamus, medial frontal cortex, medial ganglionic eminence, medial orbital frontal cortex, medial prefrontal cortex, meninges, midbrain, middle frontal gyrus, middle temporal gyrus, nerve tissue, Not Applicable, nucleus accumbens, occipital lobe, occipital visual cortex, olfactory neuroepithelium, orbitofrontal cortex, parahippocampal gyrus, parietal cortex, parietal lobe, plasma, posterior cingulate cortex, posteroinferior parietal cortex, posterior inferior parietal cortex, posterior superior temporal cortex, precentral gyrus, prefrontal cortex, primary auditory cortex, primary motor cortex, primary somatosensory cortex, primary tumor, primary visual cortex, putamen, right cerebral hemisphere, serum, splenocyte, striatum, subgenual anterior cingulate cortex, subgenual cingulate cortex, superior parietal lobe, superior temporal gyrus, temporal cortex, temporal lobe, temporal pole, thalamus, unspecified, ventricular zone, ventrolateral prefrontal cortex, VZ/SVZ, whole brain",,,TRUE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.tissue-0.0.9,
totalReads,Total number of sequencing reads from a library,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.totalReads-0.0.2,
treatmentDose,"Dose of treatment used, including units and timeframe",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-neuro.treatmentDose-0.0.2,
validBarcodeReads,Fraction of reads with cell barcodes that match the whitelist,,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-qc.validBarcodeReads-0.0.2,
visitNumber,"For clinical trials or longitudinal studies, the visit number when the sample was collected",,,,FALSE,DataProperty,,https://repo-prod.prod.sagebase.org/repo/v1/schema/type/registered/sage.annotations-experimentalData.visitNumber-0.0.2,
